uid,i,signo,condicion,metricas_no_recuperadas,articulo_no_identificado,tipo,pmids,motivo_y_siguiente_paso
C00016,11,Mini-Mental 21–25 puntos (interpretación en tres niveles),Demencia y delirium,sp;ln;vpp;vpn,False,ordinal,2666647;4080881;6736981;7100362,Categoría ordinal: no inferir LR−/VPN de un umbral binario; Sin valor predictivo observado recuperado para esta población; Cifra no recuperada para la misma definición; revisar fuente y umbral
C00017,12,Mini-Mental ≥26 puntos (interpretación en tres niveles),Demencia y delirium,ln;vpp;vpn,False,ordinal,2666647;4080881;6736981;7100362,Categoría ordinal: no inferir LR−/VPN de un umbral binario; Sin valor predictivo observado recuperado para esta población; Cifra no recuperada para la misma definición; revisar fuente y umbral
C00019,13,Incapacidad para dar 10 pasos perfectos en tándem,Alteraciones de la marcha en pacientes con parkinsonismo o demencia,vpp;vpn,False,hallazgo,16847047,Sin valor predictivo observado recuperado para esta población
C00021,14,"Marcha parkinsoniana, para demencia por cuerpos de Lewy o enfermedad de Parkinson con demencia",Alteraciones de la marcha en pacientes con parkinsonismo o demencia,vpp;vpn,False,hallazgo,16181166,Sin valor predictivo observado recuperado para esta población
C00022,15,"Marcha frontal (apraxia de la marcha), para demencia vascular",Alteraciones de la marcha en pacientes con parkinsonismo o demencia,vpp;vpn,False,hallazgo,16181166,Sin valor predictivo observado recuperado para esta población
C00023,16,Reflejo palmomentoniano presente,Predicción de caídas,vpp;vpn,False,hallazgo,3205267,Sin valor predictivo observado recuperado para esta población
C00024,17,Incapacidad para mantenerse de pie con los pies juntos y los ojos abiertos durante 10 segundos,Predicción de caídas,vpp;vpn,False,hallazgo,,Sin valor predictivo observado recuperado para esta población
C00025,18,Incapacidad para caminar en tándem (>2 errores),Predicción de caídas,vpp;vpn,False,hallazgo,,Sin valor predictivo observado recuperado para esta población
C00027,19,Prueba cronometrada de levantarse y caminar (Timed Up and Go) <15 segundos,Predicción de caídas,ln;vpp;vpn,False,ordinal,18515291,Categoría ordinal: no inferir LR−/VPN de un umbral binario; Sin valor predictivo observado recuperado para esta población; Cifra no recuperada para la misma definición; revisar fuente y umbral
C00028,20,Prueba cronometrada de levantarse y caminar (Timed Up and Go) 15-35 segundos,Predicción de caídas,sp;ln;vpp;vpn,False,ordinal,18515291,Categoría ordinal: no inferir LR−/VPN de un umbral binario; Sin valor predictivo observado recuperado para esta población; Cifra no recuperada para la misma definición; revisar fuente y umbral
C00029,21,Prueba cronometrada de levantarse y caminar (Timed Up and Go) ≥35 segundos,Predicción de caídas,ln;vpp;vpn,False,ordinal,18515291,Categoría ordinal: no inferir LR−/VPN de un umbral binario; Sin valor predictivo observado recuperado para esta población; Cifra no recuperada para la misma definición; revisar fuente y umbral
C00030,22,Prueba cronometrada de levantarse de la silla (3 repeticiones) >10 segundos,Predicción de caídas,vpp;vpn,False,hallazgo,,Sin valor predictivo observado recuperado para esta población
C00031,23,Pérdida de peso,Enfermedad hepatocelular (ictericia no obstructiva) en el paciente con ictericia,vpp;vpn,False,hallazgo,13991584;5780365,Sin valor predictivo observado recuperado para esta población
C00032,24,Arañas vasculares (telangiectasias aracniformes),Enfermedad hepatocelular (ictericia no obstructiva) en el paciente con ictericia,vpp;vpn,False,hallazgo,13991584;5780365,Sin valor predictivo observado recuperado para esta población
C00033,25,Eritema palmar,Enfermedad hepatocelular (ictericia no obstructiva) en el paciente con ictericia,vpp;vpn,False,hallazgo,13991584,Sin valor predictivo observado recuperado para esta población
C00034,26,Venas abdominales dilatadas (circulación colateral de la pared abdominal),Enfermedad hepatocelular (ictericia no obstructiva) en el paciente con ictericia,vpp;vpn,False,hallazgo,13991584,Sin valor predictivo observado recuperado para esta población
C00035,27,Ascitis,Enfermedad hepatocelular (ictericia no obstructiva) en el paciente con ictericia,vpp;vpn,False,hallazgo,13991584,Sin valor predictivo observado recuperado para esta población
C00036,28,Bazo palpable,Enfermedad hepatocelular (ictericia no obstructiva) en el paciente con ictericia,vpp;vpn,False,hallazgo,13991584;5780365,Sin valor predictivo observado recuperado para esta población
C00037,29,Hígado palpable,Enfermedad hepatocelular (ictericia no obstructiva) en el paciente con ictericia,vpp;vpn,False,hallazgo,13991584;5780365,Sin valor predictivo observado recuperado para esta población
C00038,30,Hígado doloroso a la palpación (hipersensibilidad hepática),Enfermedad hepatocelular (ictericia no obstructiva) en el paciente con ictericia,vpp;vpn,False,hallazgo,13991584;5780365,Sin valor predictivo observado recuperado para esta población
C00040,31,Eritema palmar,Cirrosis en el paciente con hepatopatía crónica,vpp;vpn,False,hallazgo,8892498;367201;18312288,Sin valor predictivo observado recuperado para esta población
C00041,32,Ginecomastia,Cirrosis en el paciente con hepatopatía crónica,vpp;vpn,False,hallazgo,8892498;18312288,Sin valor predictivo observado recuperado para esta población
C00042,33,Disminución del vello corporal o púbico,Cirrosis en el paciente con hepatopatía crónica,vpp;vpn,False,hallazgo,8892498;18312288,Sin valor predictivo observado recuperado para esta población
C00044,34,Venas dilatadas de la pared abdominal (circulación colateral),Cirrosis en el paciente con hepatopatía crónica,vpp;vpn,False,hallazgo,8892498;367201;18312288,Sin valor predictivo observado recuperado para esta población
C00047,35,Borde hepático firme a la palpación,Cirrosis en el paciente con hepatopatía crónica,vpp;vpn,False,hallazgo,,Sin valor predictivo observado recuperado para esta población
C00050,36,Edema periférico,Cirrosis en el paciente con hepatopatía crónica,vpp;vpn,False,hallazgo,8892498;5586574;367201,Sin valor predictivo observado recuperado para esta población
C00051,37,Encefalopatía hepática,Cirrosis en el paciente con hepatopatía crónica,vpp;vpn,False,hallazgo,8892498,Sin valor predictivo observado recuperado para esta población
C00054,38,Eritema palmar,Síndrome hepatopulmonar en el paciente con hepatopatía crónica,vpp;vpn,False,hallazgo,16610006;12427789,Sin valor predictivo observado recuperado para esta población
C00057,39,Cianosis central,Cianosis central (desoxihemoglobina arterial ≥2.38 g/dL),vpp;vpn,False,hallazgo,3406907,Sin valor predictivo observado recuperado para esta población
C00061,40,Palidez palmar,Anemia,vpp;vpn,False,hallazgo,10460203,Sin valor predictivo observado recuperado para esta población
C00066,41,Palidez calificada como limítrofe o dudosa (impresión global del examinador),Anemia,sp;ln;vpp;vpn,False,ordinal,,Categoría ordinal: no inferir LR−/VPN de un umbral binario; Sin valor predictivo observado recuperado para esta población; Cifra no recuperada para la misma definición; revisar fuente y umbral
C00069,42,Mucosas secas de boca y nariz,Hipovolemia,vpp;vpn,False,hallazgo,16913989;1624737,Sin valor predictivo observado recuperado para esta población
C00070,43,Surcos longitudinales en la lengua,Hipovolemia,vpp;vpn,False,hallazgo,1624737,Sin valor predictivo observado recuperado para esta población
C00071,44,Ojos hundidos,Hipovolemia,vpp;vpn,False,hallazgo,1624737,Sin valor predictivo observado recuperado para esta población
C00073,45,Confusión,Hipovolemia,vpp;vpn,False,hallazgo,16913989;1624737,Sin valor predictivo observado recuperado para esta población
C00074,46,Debilidad,Hipovolemia,vpp;vpn,False,hallazgo,1624737,Sin valor predictivo observado recuperado para esta población
C00075,47,Habla poco clara o divagante,Hipovolemia,vpp;vpn,False,hallazgo,1624737,Sin valor predictivo observado recuperado para esta población
C00076,48,Pérdida de peso mayor del 10%,Desnutrición proteico-energética y complicaciones quirúrgicas mayores,vpp;vpn,False,hallazgo,7427501;3345115;7201531;4068194;3533022,Sin valor predictivo observado recuperado para esta población
C00077,49,Peso corporal bajo,Desnutrición proteico-energética y complicaciones quirúrgicas mayores,vpp;vpn,False,hallazgo,7427501;7201531;4068194,Sin valor predictivo observado recuperado para esta población
C00078,50,Circunferencia muscular del brazo menor del 85% de lo esperado (antropometría),Desnutrición proteico-energética y complicaciones quirúrgicas mayores,vpp;vpn,False,hallazgo,7427501;7201531;4068194,Sin valor predictivo observado recuperado para esta población
C00079,51,Circunferencia muscular del antebrazo menor del 85% de lo esperado (antropometría),Desnutrición proteico-energética y complicaciones quirúrgicas mayores,vpp;vpn,False,hallazgo,7427501;7201531;4068194,Sin valor predictivo observado recuperado para esta población
C00081,52,Hipertensión arterial,Síndrome de Cushing,vpp;vpn,False,hallazgo,14212081;5808526,Sin valor predictivo observado recuperado para esta población
C00082,53,Facies de luna llena,Síndrome de Cushing,vpp;vpn,False,hallazgo,5808526,Sin valor predictivo observado recuperado para esta población
C00083,54,Obesidad central (troncal),Síndrome de Cushing,vpp;vpn,False,hallazgo,14212081;5808526,Sin valor predictivo observado recuperado para esta población
C00084,55,Obesidad generalizada,Síndrome de Cushing,vpp;vpn,False,hallazgo,14212081,Sin valor predictivo observado recuperado para esta población
C00085,56,Pliegue cutáneo delgado (adelgazamiento de la piel),Síndrome de Cushing,vpp;vpn,False,hallazgo,,Sin valor predictivo observado recuperado para esta población
C00086,57,Plétora facial (rubicundez),Síndrome de Cushing,vpp;vpn,False,hallazgo,14212081,Sin valor predictivo observado recuperado para esta población
C00087,58,Hirsutismo en mujeres,Síndrome de Cushing,vpp;vpn,False,hallazgo,14212081;5808526,Sin valor predictivo observado recuperado para esta población
C00088,59,Equimosis,Síndrome de Cushing,vpp;vpn,False,hallazgo,14212081;5808526,Sin valor predictivo observado recuperado para esta población
C00089,60,Estrías rojas o violáceas,Síndrome de Cushing,vpp;vpn,False,hallazgo,14212081;5808526,Sin valor predictivo observado recuperado para esta población
C00090,61,Acné,Síndrome de Cushing,vpp;vpn,False,hallazgo,14212081,Sin valor predictivo observado recuperado para esta población
C00091,62,Debilidad muscular proximal,Síndrome de Cushing,vpp;vpn,False,hallazgo,14212081;5808526,Sin valor predictivo observado recuperado para esta población
C00092,63,Edema en extremidades,Síndrome de Cushing,vpp;vpn,False,hallazgo,14212081;5808526,Sin valor predictivo observado recuperado para esta población
C00093,64,Frecuencia cardiaca >90 lpm como predictor de mortalidad hospitalaria en el paciente traumatizado con hipotensión,Taquicardia,vpp;vpn,False,hallazgo,12742195,Sin valor predictivo observado recuperado para esta población
C00094,65,Frecuencia cardiaca >95 lpm como predictor de mortalidad hospitalaria en choque séptico,Taquicardia,vpp;vpn,False,hallazgo,3652707,Sin valor predictivo observado recuperado para esta población
C00095,66,Frecuencia cardiaca >100 lpm como predictor de mortalidad en neumonía,Taquicardia,vpp;vpn,False,hallazgo,3389247,Sin valor predictivo observado recuperado para esta población
C00096,67,Frecuencia cardiaca >100 lpm como predictor de mortalidad hospitalaria en infarto agudo de miocardio,Taquicardia,vpp;vpn,False,hallazgo,14979625,Sin valor predictivo observado recuperado para esta población
C00097,68,Frecuencia cardiaca >100 lpm como predictor de complicaciones en pancreatitis biliar,Taquicardia,vpp;vpn,False,hallazgo,8080371,Sin valor predictivo observado recuperado para esta población
C00098,69,Frecuencia cardiaca >110 lpm como predictor de mortalidad hospitalaria en hemorragia pontina,Taquicardia,vpp;vpn,False,hallazgo,,Sin valor predictivo observado recuperado para esta población
C00099,70,Pulso paradójico >10 mmHg,Asma grave,vpp;vpn,False,hallazgo,4128055;6824209;76072,Sin valor predictivo observado recuperado para esta población
C00100,71,Pulso paradójico >20 mmHg,Asma grave,vpp;vpn,False,hallazgo,4128055;6824209;76072,Sin valor predictivo observado recuperado para esta población
C00101,72,Pulso paradójico >25 mmHg,Asma grave,vpp;vpn,False,hallazgo,,Sin valor predictivo observado recuperado para esta población
C00102,73,Pulso carotídeo palpable (para detectar presión sistólica ≥60 mmHg),Choque hipovolémico,vpp;vpn,False,hallazgo,10987771,Sin valor predictivo observado recuperado para esta población
C00103,74,Pulso femoral palpable (para detectar presión sistólica ≥60 mmHg),Choque hipovolémico,vpp;vpn,False,hallazgo,10987771,Sin valor predictivo observado recuperado para esta población
C00104,75,Pulso radial palpable (para detectar presión sistólica ≥60 mmHg),Choque hipovolémico,vpp;vpn,False,hallazgo,10987771,Sin valor predictivo observado recuperado para esta población
C00106,76,Ondas A en cañón intermitentes en el pulso venoso yugular,Taquicardia ventricular con disociación auriculoventricular,vpp;vpn,False,hallazgo,7994860,Sin valor predictivo observado recuperado para esta población
C00107,77,Intensidad variable del primer ruido cardiaco (S1),Taquicardia ventricular con disociación auriculoventricular,vpp;vpn,False,hallazgo,7994860,Sin valor predictivo observado recuperado para esta población
C00108,78,Pulso irregular,Fibrilación auricular,vpp;vpn,False,hallazgo,9685281,Sin valor predictivo observado recuperado para esta población
C00110,79,Hipotensión arterial en el paciente de terapia intensiva (predictor de desenlace adverso),Hipotensión arterial y pronóstico,vpp;vpn,False,hallazgo,18779186,Sin valor predictivo observado recuperado para esta población
C00111,80,Hipotensión arterial en el paciente con bacteriemia (predictor de desenlace adverso),Hipotensión arterial y pronóstico,vpp;vpn,False,hallazgo,12626967;12063098,Sin valor predictivo observado recuperado para esta población
C00112,81,Hipotensión arterial en el paciente con neumonía (predictor de desenlace adverso),Hipotensión arterial y pronóstico,vpp;vpn,False,hallazgo,6474390;10320113;3965559;18492742,Sin valor predictivo observado recuperado para esta población
C00113,82,Hipotensión arterial en el paciente con infarto agudo de miocardio (predictor de desenlace adverso),Hipotensión arterial y pronóstico,vpp;vpn,False,hallazgo,1891019,Sin valor predictivo observado recuperado para esta población
C00114,83,Presión arterial sistólica ≤90 mmHg,Hipotensión arterial y pronóstico,vpp;vpn,False,hallazgo,17241732,Sin valor predictivo observado recuperado para esta población
C00115,84,Presión arterial sistólica ≤85 mmHg,Hipotensión arterial y pronóstico,vpp;vpn,False,hallazgo,17241732,Sin valor predictivo observado recuperado para esta población
C00116,85,Presión arterial sistólica ≤80 mmHg,Hipotensión arterial y pronóstico,vpp;vpn,False,hallazgo,17241732,Sin valor predictivo observado recuperado para esta población
C00117,86,Déficit de pulso (ausencia o asimetría de un pulso periférico),Disección aórtica,vpp;vpn,False,hallazgo,9842019;2642405;11041906,Sin valor predictivo observado recuperado para esta población
C00118,87,Soplo diastólico de insuficiencia aórtica,Disección aórtica,vpp;vpn,False,hallazgo,9842019;2642405;11041906;1858632,Sin valor predictivo observado recuperado para esta población
C00119,88,Signos neurológicos focales,Disección aórtica,vpp;vpn,False,hallazgo,11041906,Sin valor predictivo observado recuperado para esta población
C00121,89,"Regla de predicción de disección aórtica: 1 de 3 predictores (déficit de pulso, soplo de insuficiencia aórtica y signos neurológicos focales)",Disección aórtica,sp;ln;vpp;vpn,False,ordinal,11041906,Categoría ordinal: no inferir LR−/VPN de un umbral binario; Sin valor predictivo observado recuperado para esta población; Cifra no recuperada para la misma definición; revisar fuente y umbral
C00122,90,"Regla de predicción de disección aórtica: 2 de 3 predictores (déficit de pulso, soplo de insuficiencia aórtica y signos neurológicos focales)",Disección aórtica,sp;ln;vpp;vpn,False,ordinal,11041906,Categoría ordinal: no inferir LR−/VPN de un umbral binario; Sin valor predictivo observado recuperado para esta población; Cifra no recuperada para la misma definición; revisar fuente y umbral
C00123,91,"Regla de predicción de disección aórtica: 3 de 3 predictores (déficit de pulso, soplo de insuficiencia aórtica y signos neurológicos focales)",Disección aórtica,ln;vpp;vpn,False,ordinal,11041906,Categoría ordinal: no inferir LR−/VPN de un umbral binario; Sin valor predictivo observado recuperado para esta población; Cifra no recuperada para la misma definición; revisar fuente y umbral
C00124,92,Presión arterial sistólica ≥160 mmHg (para detectar lesión cerebral estructural en el paciente con alteración de la consciencia),Presión arterial sistólica y alteración del estado de consciencia,vpp;vpn,False,hallazgo,12376438;16311141,Sin valor predictivo observado recuperado para esta población
C00126,93,Frente anormalmente caliente a la palpación,Fiebre,vpp;vpn,False,hallazgo,12753634;10691073,Sin valor predictivo observado recuperado para esta población
C00127,94,Edad de 50 años o más,Bacteriemia en el paciente febril,vpp;vpn,False,hallazgo,,Sin valor predictivo observado recuperado para esta población
C00128,95,Insuficiencia renal,Bacteriemia en el paciente febril,vpp;vpn,False,hallazgo,,Sin valor predictivo observado recuperado para esta población
C00130,96,Uso de drogas intravenosas,Bacteriemia en el paciente febril,vpp;vpn,False,hallazgo,2393205,Sin valor predictivo observado recuperado para esta población
C00131,97,Antecedente de evento vascular cerebral,Bacteriemia en el paciente febril,vpp;vpn,False,hallazgo,,Sin valor predictivo observado recuperado para esta población
C00132,98,Diabetes mellitus,Bacteriemia en el paciente febril,vpp;vpn,False,hallazgo,7884108;1610043;16174688,Sin valor predictivo observado recuperado para esta población
C00133,99,Mal estado funcional previo,Bacteriemia en el paciente febril,vpp;vpn,False,hallazgo,,Sin valor predictivo observado recuperado para esta población
C00134,100,Enfermedad rápidamente mortal (esperanza de vida menor de 1 mes),Bacteriemia en el paciente febril,vpp;vpn,False,hallazgo,2393205;8833017,Sin valor predictivo observado recuperado para esta población
C00135,101,Sonda vesical permanente,Bacteriemia en el paciente febril,vpp;vpn,False,hallazgo,7884108;1610043,Sin valor predictivo observado recuperado para esta población
C00136,102,Catéter venoso central,Bacteriemia en el paciente febril,vpp;vpn,False,hallazgo,14727205;9395366;17100868,Sin valor predictivo observado recuperado para esta población
C00138,103,Taquicardia,Bacteriemia en el paciente febril,vpp;vpn,False,hallazgo,14727205;1610043;17100868,Sin valor predictivo observado recuperado para esta población
C00139,104,Frecuencia respiratoria mayor de 20 por minuto,Bacteriemia en el paciente febril,vpp;vpn,False,hallazgo,1610043,Sin valor predictivo observado recuperado para esta población
C00142,105,Confusión o deterioro del estado de alerta,Bacteriemia en el paciente febril,vpp;vpn,False,hallazgo,14727205;7884108;1610043;16174688;9395366,Sin valor predictivo observado recuperado para esta población
C00143,106,Hipertermia como predictor de mortalidad hospitalaria en hemorragia pontina,Extremos de temperatura y pronóstico (mortalidad hospitalaria),vpp;vpn,False,hallazgo,,Sin valor predictivo observado recuperado para esta población
C00144,107,Hipotermia como predictor de mortalidad hospitalaria por falla de bomba en insuficiencia cardiaca,Extremos de temperatura y pronóstico (mortalidad hospitalaria),vpp;vpn,False,hallazgo,15894979,Sin valor predictivo observado recuperado para esta población
C00145,108,Hipotermia como predictor de mortalidad hospitalaria en neumonía,Extremos de temperatura y pronóstico (mortalidad hospitalaria),vpp;vpn,False,hallazgo,6474390;10320113,Sin valor predictivo observado recuperado para esta población
C00146,109,Hipotermia como predictor de mortalidad hospitalaria en bacteriemia,Extremos de temperatura y pronóstico (mortalidad hospitalaria),vpp;vpn,False,hallazgo,8564118,Sin valor predictivo observado recuperado para esta población
C00147,110,Frecuencia respiratoria >24/min como predictor de fracaso del retiro de la ventilación mecánica en el paciente intubado,Taquipnea,vpp;vpn,False,hallazgo,,Sin valor predictivo observado recuperado para esta población
C00149,111,Frecuencia respiratoria >28/min para detectar neumonía en el paciente con tos y fiebre,Taquipnea,vpp;vpn,False,hallazgo,2745948,Sin valor predictivo observado recuperado para esta población
C00150,112,Frecuencia respiratoria >30/min como predictor de mortalidad hospitalaria en neumonía,Taquipnea,vpp;vpn,False,hallazgo,10320113;1872491;8100295;10515416,Sin valor predictivo observado recuperado para esta población
C00151,113,Saturación de oxígeno <90% como predictor de mortalidad hospitalaria en el paciente hospitalizado,Saturación de oxígeno por oximetría de pulso,vpp;vpn,False,hallazgo,15918825;19558478,Sin valor predictivo observado recuperado para esta población
C00153,114,Saturación de oxígeno <95% para detectar neumonía en el paciente ambulatorio con tos y fiebre,Saturación de oxígeno por oximetría de pulso,vpp;vpn,False,hallazgo,2745948;18211312;17606087,Sin valor predictivo observado recuperado para esta población
C00156,117,Anisocoria con parálisis completa del III par craneal,Pupilas (lesión estructural intracraneal),vpp;vpn,False,hallazgo,7465470,Sin valor predictivo observado recuperado para esta población
C00157,118,Anisocoria o reflejo fotomotor anormal,Pupilas (lesión estructural intracraneal),vpp;vpn,False,hallazgo,17219827;14162937,Sin valor predictivo observado recuperado para esta población
C00158,119,Anisocoria ≥1 mm tras cocaína tópica (prueba de la cocaína),Pupilas (lesión estructural intracraneal),vpp;vpn,False,hallazgo,2310339,Sin valor predictivo observado recuperado para esta población
C00159,120,Dilatación de la pupila miótica con hidroxianfetamina tópica (prueba de hidroxianfetamina),Pupilas (lesión estructural intracraneal),vpp;vpn,False,hallazgo,2368824;7425056,Sin valor predictivo observado recuperado para esta población
C00160,121,Falta de dilatación de la pupila miótica con fenilefrina diluida,Pupilas (lesión estructural intracraneal),vpp;vpn,False,hallazgo,15031194,Sin valor predictivo observado recuperado para esta población
C00161,122,Sudoración facial asimétrica,Pupilas (lesión estructural intracraneal),vpp;vpn,False,hallazgo,2801865,Sin valor predictivo observado recuperado para esta población
C00162,123,Anisocoria ≥1 mm,Pupilas (lesión estructural intracraneal),vpp;vpn,False,hallazgo,,Sin valor predictivo observado recuperado para esta población
C00164,124,Oftalmoscopia directa sin dilatación pupilar,Retinopatía diabética,vpp;vpn,False,hallazgo,4000642,Sin valor predictivo observado recuperado para esta población
C00165,125,Oftalmoscopia directa con pupila dilatada realizada por médico no oftalmólogo,Retinopatía diabética,vpp;vpn,False,hallazgo,8597737;9498631;1830260;18406632,Sin valor predictivo observado recuperado para esta población
C00166,126,Oftalmoscopia directa con pupila dilatada realizada por especialista,Retinopatía diabética,vpp;vpn,False,hallazgo,9498631;1830260;2579361;7580708,Sin valor predictivo observado recuperado para esta población
C00167,127,Retinografía digital no midriática de tres campos,Retinopatía diabética,vpp;vpn,False,hallazgo,19406376,Sin valor predictivo observado recuperado para esta población
C00169,128,No escucha el frote fuerte de los dedos (prueba del frote digital),Hipoacusia,vpp;vpn,False,hallazgo,19414727,Sin valor predictivo observado recuperado para esta población
C00170,129,No escucha el frote suave de los dedos (prueba del frote digital),Hipoacusia,vpp;vpn,False,hallazgo,19414727,Sin valor predictivo observado recuperado para esta población
C00171,130,"Prueba de Rinne con conducción ósea mayor que la aérea (“Rinne negativo”), para detectar hipoacusia conductiva",Hipoacusia,vpp;vpn,False,hallazgo,3348896,Sin valor predictivo observado recuperado para esta población
C00172,131,"Prueba de Weber que lateraliza al oído sano, para detectar hipoacusia neurosensorial",Hipoacusia,vpp;vpn,False,hallazgo,513917,Sin valor predictivo observado recuperado para esta población
C00173,132,"Prueba de Weber que lateraliza al oído enfermo, para detectar hipoacusia conductiva",Hipoacusia,vpp;vpn,False,hallazgo,513917,Sin valor predictivo observado recuperado para esta población
C00174,133,Sin bocio a la inspección ni a la palpación,Bocio,ln;vpp;vpn,False,hallazgo,3056637;3978834;4064350;2000697;2221166,Sin valor predictivo observado recuperado para esta población; Cifra no recuperada para la misma definición; revisar fuente y umbral
C00175,134,"Bocio palpable, visible sólo con el cuello en extensión",Bocio,sp;ln;vpp;vpn,False,hallazgo,3056637,Sin valor predictivo observado recuperado para esta población; Cifra no recuperada para la misma definición; revisar fuente y umbral
C00176,135,Bocio palpable y visible con el cuello en posición normal,Bocio,ln;vpp;vpn,False,hallazgo,3056637;3978834;4064350;2221166,Sin valor predictivo observado recuperado para esta población; Cifra no recuperada para la misma definición; revisar fuente y umbral
C00179,136,Bocio fijo a los tejidos vecinos,Carcinoma tiroideo (hallazgos en bocio y nódulo tiroideo),vpp;vpn,False,hallazgo,,Sin valor predictivo observado recuperado para esta población
C00180,137,Bocio nodular (frente a bocio difuso),Carcinoma tiroideo (hallazgos en bocio y nódulo tiroideo),vpp;vpn,False,hallazgo,,Sin valor predictivo observado recuperado para esta población
C00181,138,Lóbulo piramidal palpable,Carcinoma tiroideo (hallazgos en bocio y nódulo tiroideo),vpp;vpn,False,hallazgo,,Sin valor predictivo observado recuperado para esta población
C00182,139,Parálisis de cuerda vocal (en nódulo tiroideo),Carcinoma tiroideo (hallazgos en bocio y nódulo tiroideo),vpp;vpn,False,hallazgo,19340874,Sin valor predictivo observado recuperado para esta población
C00183,140,Nódulo tiroideo fijo a los tejidos vecinos,Carcinoma tiroideo (hallazgos en bocio y nódulo tiroideo),vpp;vpn,False,hallazgo,10828810,Sin valor predictivo observado recuperado para esta población
C00184,141,Adenopatía cervical (en nódulo tiroideo),Carcinoma tiroideo (hallazgos en bocio y nódulo tiroideo),vpp;vpn,False,hallazgo,19340874,Sin valor predictivo observado recuperado para esta población
C00185,142,Nódulo tiroideo con diámetro ≥4 cm,Carcinoma tiroideo (hallazgos en bocio y nódulo tiroideo),vpp;vpn,False,hallazgo,10828810,Sin valor predictivo observado recuperado para esta población
C00187,143,Piel fría y seca,Hipotiroidismo,vpp;vpn,False,hallazgo,4942137,Sin valor predictivo observado recuperado para esta población
C00188,144,Piel áspera,Hipotiroidismo,vpp;vpn,False,hallazgo,4186294,Sin valor predictivo observado recuperado para esta población
C00189,145,Palmas frías,Hipotiroidismo,vpp;vpn,False,hallazgo,4186294,Sin valor predictivo observado recuperado para esta población
C00190,146,Palmas secas,Hipotiroidismo,vpp;vpn,False,hallazgo,4186294,Sin valor predictivo observado recuperado para esta población
C00191,147,Abotagamiento periorbitario,Hipotiroidismo,vpp;vpn,False,hallazgo,4186294,Sin valor predictivo observado recuperado para esta población
C00192,148,Abotagamiento de las muñecas,Hipotiroidismo,vpp;vpn,False,hallazgo,4186294,Sin valor predictivo observado recuperado para esta población
C00193,149,Pérdida del vello de las cejas,Hipotiroidismo,vpp;vpn,False,hallazgo,4186294,Sin valor predictivo observado recuperado para esta población
C00194,150,Edema pretibial,Hipotiroidismo,vpp;vpn,False,hallazgo,,Sin valor predictivo observado recuperado para esta población
C00195,151,"Habla hipotiroidea (lenta, ronca y de tono bajo)",Hipotiroidismo,vpp;vpn,False,hallazgo,4186294,Sin valor predictivo observado recuperado para esta población
C00196,152,Frecuencia del pulso lenta (bradicardia),Hipotiroidismo,vpp;vpn,False,hallazgo,4942137;2633409,Sin valor predictivo observado recuperado para esta población
C00197,153,Tiroides aumentada de tamaño (bocio),Hipotiroidismo,vpp;vpn,False,hallazgo,4942137,Sin valor predictivo observado recuperado para esta población
